state,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,date
AK,16,0,2020-12-18
AL,398,6,2020-12-18
AR,146,2,2020-12-18
AZ,458,4,2020-12-18
CA,2233,26,2020-12-18
CO,215,6,2020-12-18
CT,160,3,2020-12-18
DC,32,2,2020-12-18
DE,53,1,2020-12-18
FL,822,10,2020-12-18
GA,555,19,2020-12-18
HI,9,0,2020-12-18
IA,95,0,2020-12-18
PR,42,1,2020-12-18
RI,41,0,2020-12-18
SC,184,3,2020-12-18
SD,31,0,2020-12-18
TN,0,0,2020-12-18
TX,1325,63,2020-12-18
UT,86,3,2020-12-18
VA,242,3,2020-12-18
VI,0,0,2020-12-18
VT,6,0,2020-12-18
WA,88,1,2020-12-18
WI,290,11,2020-12-18
WV,66,0,2020-12-18
MT,51,0,2020-12-18
NC,318,3,2020-12-18
ND,30,0,2020-12-18
NE,64,0,2020-12-18
NH,39,0,2020-12-18
NJ,450,3,2020-12-18
NM,112,0,2020-12-18
NV,163,2,2020-12-18
NY,838,7,2020-12-18
OH,699,7,2020-12-18
OK,381,0,2020-12-18
OR,79,0,2020-12-18
PA,686,4,2020-12-18
ID,67,1,2020-12-18
IL,546,8,2020-12-18
IN,383,4,2020-12-18
KS,166,1,2020-12-18
KY,403,1,2020-12-18
LA,168,4,2020-12-18
MA,298,2,2020-12-18
MD,197,3,2020-12-18
ME,17,0,2020-12-18
MI,341,4,2020-12-18
MN,120,1,2020-12-18
MO,302,4,2020-12-18
MS,155,7,2020-12-18
WY,23,1,2020-12-18
